transaction_id,customer_id,merchant_id,amount,currency,timestamp,payment_method,failure_type,failure_code,failure_reason,retry_count,customer_historical_success_rate,previous_success_rate,customer_payment_frequency,previous_failures,transaction_hour,day_of_week,subscription_status,amount_relative_to_historical_avg,time_since_previous_successful_payment,device_type,device_os,country,invoice_info,is_recoverable,recoverability_probability,expected_recovery_amount
TXN_B6ECA65F5F,CUST_1332,MERCH_168,2023.34,INR,2026-05-27T12:01:30,upi,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,1,0.825,0.818,6,0,12,2,canceled,0.56,269781.0,mobile,iOS,IN,"{""invoice_id"": ""INV_D321F706"", ""due_date"": ""2026-06-04"", ""items"": 1, ""tax"": 364.2}",0,0.434,0.0
TXN_246C182DEF,CUST_1602,MERCH_113,4838.17,INR,2026-05-27T12:03:58,credit_card,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,1,0.709,0.844,3,2,12,2,none,0.86,571342.0,mobile,Android,IN,"{""invoice_id"": ""INV_25499197"", ""due_date"": ""2026-06-01"", ""items"": 1, ""tax"": 870.87}",1,0.816,3947.95
TXN_7A0A047A52,CUST_1165,MERCH_278,710.46,INR,2026-05-27T12:06:50,debit_card,bank_decline,ERR_BANK_DECLINE,Issuer bank declined transaction due to risk rules,0,0.816,0.804,6,1,12,2,active,1.02,44739.0,mobile,Android,IN,"{""invoice_id"": ""INV_1C6CC256"", ""due_date"": ""2026-05-29"", ""items"": 1, ""tax"": 127.88}",1,0.803,570.5
TXN_4855380865,CUST_1160,MERCH_317,1605.59,INR,2026-05-27T12:17:27,upi,bank_decline,ERR_BANK_DECLINE,Issuer bank declined transaction due to risk rules,0,0.628,0.617,4,2,12,2,trial,1.39,508203.0,desktop,iOS,IN,"{""invoice_id"": ""INV_C1D8F6AE"", ""due_date"": ""2026-05-29"", ""items"": 3, ""tax"": 289.01}",1,0.727,1167.26
TXN_2B9E50C343,CUST_1005,MERCH_250,1181.13,EUR,2026-05-27T12:29:25,wallet,bank_decline,ERR_BANK_DECLINE,Issuer bank declined transaction due to risk rules,4,0.855,0.84,5,0,12,2,active,1.92,76584.0,desktop,Windows,IN,"{""invoice_id"": ""INV_31752CD7"", ""due_date"": ""2026-05-30"", ""items"": 3, ""tax"": 212.6}",1,0.655,773.64
TXN_4ABED5E215,CUST_1204,MERCH_273,5659.63,INR,2026-05-27T12:31:13,credit_card,customer_action_required,ERR_CUSTOMER_ACTION,Customer mandate approval or biometric confirmation needed,1,0.615,0.494,5,2,12,2,active,1.33,82180.0,tablet,Windows,IN,"{""invoice_id"": ""INV_0B499C66"", ""due_date"": ""2026-06-09"", ""items"": 3, ""tax"": 1018.73}",0,0.203,0.0
TXN_C7F584ED2D,CUST_1531,MERCH_313,1043.3,INR,2026-05-27T12:31:14,upi,customer_action_required,ERR_CUSTOMER_ACTION,Customer mandate approval or biometric confirmation needed,2,0.869,0.603,4,1,12,2,none,0.75,75500.0,mobile,macOS,IN,"{""invoice_id"": ""INV_A5F14574"", ""due_date"": ""2026-05-29"", ""items"": 2, ""tax"": 187.79}",0,0.42,0.0
TXN_0A55D2801E,CUST_2123,MERCH_254,2246.56,INR,2026-05-27T12:31:29,upi,expired_card,ERR_CARD_EXPIRED,Instrument card has expired,0,0.834,0.674,9,2,12,2,canceled,1.45,169142.0,mobile,macOS,IN,"{""invoice_id"": ""INV_E5F9DE39"", ""due_date"": ""2026-06-04"", ""items"": 1, ""tax"": 404.38}",0,0.097,0.0
TXN_F5F8C70137,CUST_1044,MERCH_188,3399.47,INR,2026-05-27T12:52:02,debit_card,insufficient_funds,ERR_INSUFFICIENT_FUNDS,Insufficient funds in customer account,2,0.679,0.604,4,2,12,2,active,0.48,282876.0,desktop,macOS,US,"{""invoice_id"": ""INV_ABE77DE7"", ""due_date"": ""2026-06-06"", ""items"": 1, ""tax"": 611.9}",0,0.022,0.0
TXN_1480CE196D,CUST_1456,MERCH_135,3864.93,INR,2026-05-27T12:53:10,upi,unknown,ERR_UNKNOWN,Unknown upstream gateway failure,2,0.869,0.889,6,0,12,2,active,0.93,84470.0,desktop,Android,IN,"{""invoice_id"": ""INV_24A8F145"", ""due_date"": ""2026-06-01"", ""items"": 3, ""tax"": 695.69}",0,0.453,0.0
TXN_99B5522DDA,CUST_1226,MERCH_295,686.16,INR,2026-05-27T13:17:29,debit_card,authentication_failure,ERR_AUTH_FAILED,Customer 3DS / OTP verification failed or timed out,0,0.752,0.844,6,0,13,2,active,2.16,280627.0,mobile,Android,IN,"{""invoice_id"": ""INV_047880A6"", ""due_date"": ""2026-05-30"", ""items"": 1, ""tax"": 123.51}",1,0.974,668.32
TXN_0728C8E8BB,CUST_1051,MERCH_131,1401.95,USD,2026-05-27T13:24:40,upi,authentication_failure,ERR_AUTH_FAILED,Customer 3DS / OTP verification failed or timed out,1,0.937,0.972,1,2,13,2,none,1.68,53377.0,tablet,Windows,IN,"{""invoice_id"": ""INV_BFDB0840"", ""due_date"": ""2026-06-04"", ""items"": 1, ""tax"": 252.35}",1,0.869,1218.29
TXN_21E16FBCFA,CUST_2169,MERCH_172,8968.0,INR,2026-05-27T13:32:54,upi,temporary_network_failure,ERR_NETWORK_TIMEOUT,Temporary gateway network timeout or issuer degradation,0,0.906,0.905,6,2,13,2,active,0.61,39408.0,mobile,macOS,IN,"{""invoice_id"": ""INV_D2191D27"", ""due_date"": ""2026-06-08"", ""items"": 3, ""tax"": 1614.24}",1,0.943,8456.82
TXN_68E187E98C,CUST_2146,MERCH_293,1780.16,INR,2026-05-27T13:42:19,debit_card,expired_card,ERR_CARD_EXPIRED,Instrument card has expired,2,0.704,0.59,6,1,13,2,none,0.67,866143.0,mobile,Android,IN,"{""invoice_id"": ""INV_4F174FA1"", ""due_date"": ""2026-06-06"", ""items"": 2, ""tax"": 320.43}",0,0.01,0.0
